カードID,名前,読み方,レベル,属性,種族,カードタイプ,攻撃力,守備力,カードテキスト
21968,The Lady's Protectors,The Lady's Protectors,7,光,獣戦士族,効果,2000,2500,"Cannot be Special Summoned. Requires 3 Beast-Warrior Tributes to Normal Summon (cannot be Normal Set). If this card attacks your opponent directly and reduces their LP to 0, you win the Match."
7992,Tyr,"Tyr, the Vanquishing Warlord",10,光,天使族,効果,3000,3000,"This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Fairy-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match."
5925,Ulevo,Ulevo,10,地,鳥獣族,効果,3000,2500,"This card cannot be Special Summoned. This card must be Tribute Summoned by offering 3 Winged Beast-Type monsters on your side of the field as Tributes. If this card attacks your opponent's Life Points directly and makes them 0, the controller of this card wins the Match."
21580,WINDS OF VICTORY,WINDS OF VICTORY,,,魔法,,,,"The equipped monster gains 300 ATK, also it becomes WIND."
9978,アイアイアン,アイアイアン,4,地,機械族,効果,1600,1800,１ターンに１度、自分のメインフェイズ時にこのカードの攻撃力を４００ポイントアップできる。この効果を発動するターン、このカードは攻撃できない。
10008,アイアンコール,アイアンコール,,,魔法,,,,①：自分フィールドに機械族モンスターが存在する場合、自分の墓地のレベル４以下の機械族モンスター１体を対象として発動できる。その機械族モンスターを特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化され、エンドフェイズに破壊される。
13827,アイアンドロー,アイアンドロー,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。①：自分フィールドのモンスターが機械族の効果モンスター２体のみの場合に発動できる。自分はデッキから２枚ドローする。このカードの発動後、ターン終了時まで自分は１回しかモンスターを特殊召喚できない。
4130,アイアン・ハート,アイアン・ハート,5,闇,機械族,通常,1700,1400,古代文明の遺跡で見つかった、破壊だけを目的とした機械。
14860,Ai打ち,アイうち,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。①：自分と相手のモンスター同士が戦闘を行うダメージ計算時に発動できる。その自分のモンスターの攻撃力はそのダメージ計算時のみ、その相手モンスターの攻撃力と同じになり、そのダメージステップ終了時にその戦闘で破壊されたモンスターのコントローラーはその元々の攻撃力分のダメージを受ける。②：自分の「＠イグニスター」モンスターが戦闘で破壊される場合、代わりに墓地のこのカードを除外できる。
7872,アイヴィ・ウォール,アイヴィ・ウォール,2,地,植物族,リバース／効果,300,1200,リバース：相手フィールド上に「アイヴィトークン」（植物族・地・星１・攻／守０）１体を守備表示で特殊召喚する。「アイヴィトークン」が破壊された時、このトークンのコントローラーは３００ポイントダメージを受ける。
8065,アイヴィ・シャックル,アイヴィ・シャックル,,,罠,,,,このカードがフィールド上に存在する限り、相手フィールド上に表側表示で存在する全てのモンスターは自分のターンのみ植物族になる。フィールド上に表側表示で存在するこのカードが相手の効果によって破壊され墓地へ送られた時、自分のデッキからカードを１枚ドローする。
20608,藍眼の銀龍,あいがんのぎんりゅう,8,光,ドラゴン族,エクシーズ／効果,4000,0,ドラゴン族レベル８モンスター×２ このカード名の①③の効果はそれぞれ１ターンに１度しか使用できない。 ①：このカードがX召喚した場合に発動できる。相手フィールドの全ての表側表示カードの効果は無効化される。 ②：通常モンスターをX素材としていないこのカードは直接攻撃できない。 ③：このカードのX素材を１つ取り除き、自分の墓地・除外状態の通常モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。この効果で特殊召喚したモンスターの攻撃力は１０００アップする。
15059,Ai－Q,アイ－キュー,,,罠,,,,自分フィールドに「＠イグニスター」モンスターが存在する場合にこのカードを発動できる。このカードのコントローラーは、自分スタンバイフェイズ毎に自分フィールドのリンクモンスター１体をリリースする。またはリリースせずにこのカードを破壊する。①：このカードが魔法＆罠ゾーンに存在する限り、その間はお互いに１ターンに１度しかリンク召喚できない。
15042,Ai－コンタクト,アイ－コンタクト,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。①：自分のフィールドゾーンに「イグニスターAiランド」が存在する場合、手札の「イグニスターAiランド」１枚を相手に見せて発動できる。見せたカードをデッキの一番下に戻し、自分はデッキから３枚ドローする。
14878,Aiシャドー,アイシャドー,,,罠,,,,このカード名の②の効果は１ターンに１度しか使用できない。自分フィールドの「＠イグニスター」モンスター１体を対象としてこのカードを発動できる。①：このカードが魔法＆罠ゾーンに存在する限り、対象のモンスターの攻撃力は８００アップし、攻撃可能な相手モンスターは対象のモンスターに攻撃しなければならない。②：魔法＆罠ゾーンの表側表示のこのカードが相手の効果でフィールドから離れ、墓地へ送られた場合または除外された場合に発動する。自分はデッキから１枚ドローする。
16436,Ai－SHOW,アイ－ショウ,,,罠,,,,①：EXモンスターゾーンに自分のリンク３以上の「＠イグニスター」モンスターが存在する場合、相手モンスターの攻撃宣言時に発動できる。攻撃力の合計が、その攻撃モンスターの攻撃力以下になるように、リンクモンスター以外の攻撃力２３００のサイバース族モンスターをEXデッキから任意の数だけ選んで特殊召喚する。その後、バトルフェイズを終了する。
8873,アイス・ドール,アイス・ドール,2,水,魔法使い族,効果,800,1000,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できず、この効果を発動するターン、自分は水属性モンスターしか特殊召喚できない。 ①：手札から他の水属性モンスター１体を捨てて発動できる。このカードを手札から特殊召喚する。 ②：このカードが召喚・特殊召喚した場合に発動できる。デッキから魔法使い族・水属性モンスター１体を手札に加える。 ③：このカードがフィールドから墓地へ送られた場合に発動できる。デッキから「アイス・ドール・ミラー」１枚を手札に加える。
8889,アイス・ドール・ミラー,アイス・ドール・ミラー,,,魔法,,,,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。 ①：自分の手札・フィールド（表側表示）から水属性モンスター１体を墓地へ送って発動できる。自分フィールドの水属性モンスター１体を選び、その同名モンスター１体を手札・デッキから特殊召喚する。このカードの発動後、ターン終了時まで自分は水属性モンスターしか特殊召喚できない。 ②：墓地のこのカードを除外して発動できる。自分のデッキ・墓地から「アイス・ドール」１体を手札に加える。
6861,氷騎士,アイスナイト,4,水,水族,効果,1300,1200,①：このカードの攻撃力は、自分フィールドの水族モンスターの数×４００アップする。②：１ターンに１度、自分メインフェイズに発動できる。このターン、自分は通常召喚に加えて１度だけ、自分メインフェイズに水属性モンスター１体を召喚できる。この効果の発動後、ターン終了時まで自分は水属性モンスターしか召喚・特殊召喚できない。
11191,アイス・ハンド,アイス・ハンド,4,水,水族,効果,1400,1600,①：このカードが相手によって破壊され墓地へ送られた時、相手フィールドの魔法・罠カード１枚を対象として発動できる。その相手のカードを破壊する。その後、デッキから「ファイヤー・ハンド」１体を特殊召喚できる。
9797,アイスバーン,アイスバーン,,,罠,,,,自分フィールド上に水属性モンスターが表側表示で存在し、水属性以外のモンスターが召喚・特殊召喚に成功した時、そのモンスターは守備表示になる。
7025,アイス・ブリザード・マスター,アイス・ブリザード・マスター,8,水,魔法使い族,効果,2500,2000,このカードは自分フィールドの水属性モンスター２体をリリースし、手札から特殊召喚できる。１ターンに１度、フィールド上に表側表示で存在するモンスター１体を選択し、アイスカウンターを１つ置く事ができる。また、このカードをリリースする事で、アイスカウンターが乗ったモンスターを全て破壊する。
16418,アイス・ミラー,アイス・ミラー,,,魔法,,,,①：自分フィールドのレベル３以下の水属性モンスター１体を対象として発動できる。その同名モンスター１体をデッキから特殊召喚する。この効果で特殊召喚したモンスターが自分フィールドに表側表示で存在する限り、自分はEXデッキからモンスターを特殊召喚できない。
20574,アイス・ライゼオル,アイス・ライゼオル,4,光,炎族,効果,1700,1000,このカード名の、①の方法による特殊召喚は１ターンに１度しかできず、②の効果は１ターンに１度しか使用できない。 ①：このカードは自分の手札・フィールドのカード１枚を墓地へ送り、手札から特殊召喚できる。この方法で特殊召喚したターン、自分はランク４のXモンスターしかEXデッキから特殊召喚できない。 ②：このカードが召喚した場合に発動できる。デッキから「アイス・ライゼオル」以外の「ライゼオル」モンスター１体を特殊召喚する。
5642,アイツ,アイツ,5,炎,天使族,通常,100,100,非常に頼りない姿をしているが、実はとてつもない潜在能力を隠し持っているらしい。
14861,Aiドリング・ボーン,アイドリング・ボーン,,,魔法,,,,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分の墓地の「＠イグニスター」モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。このカードの発動後、ターン終了時まで自分はサイバース族モンスターしか特殊召喚できない。②：モンスター同士が戦闘を行う攻撃宣言時、墓地のこのカードと手札を１枚除外し、自分の墓地のカード及び除外されている自分のカードの中から、「Aiドリング・ボーン」以外の「Ai」魔法・罠カード１枚を対象として発動できる。そのカードを手札に加える。
14863,Aiの儀式,アイのぎしき,,,魔法,,,,サイバース族の儀式モンスターの降臨に必要。①：レベルの合計が儀式召喚するモンスターのレベル以上になるように、自分の手札・フィールドの「＠イグニスター」モンスターをリリースし、手札からサイバース族の儀式モンスター１体を儀式召喚する。発動時に自分フィールドに「＠イグニスター」モンスターが存在する場合、自分の墓地の「＠イグニスター」モンスターもリリースの代わりに除外する事ができる。
10956,相乗り,あいのり,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。①：このターン、相手がドロー以外の方法でデッキ・墓地からカードを手札に加える度に、自分はデッキから１枚ドローする。
14676,I：Pマスカレーナ,アイピーマスカレーナ,2,闇,サイバース族,リンク／効果,800,-,Lモンスター以外のモンスター２体 このカード名の①の効果は１ターンに１度しか使用できない。 ①：相手メインフェイズに発動できる。このカードを含む自分フィールドのモンスターを素材としてL召喚を行う。 ②：このカードをL素材としたLモンスターは相手の効果では破壊されない。
21207,Ai－ボウ,アイ－ボウ,,,罠,,,,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。 ①：自分フィールドの元々の攻撃力が２３００のサイバース族モンスターの数だけ、相手フィールドの表側表示カードを対象として発動できる。そのカードの効果をターン終了時まで無効にする。 ②：墓地のこのカードを除外し、自分の除外状態のサイバース族モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。
14862,Aiラブ融合,アイラブゆうごう,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。①：自分の手札・フィールドから、サイバース族の融合モンスターカードによって決められた融合素材モンスターを墓地へ送り、その融合モンスター１体をEXデッキから融合召喚する。自分の「＠イグニスター」モンスターを融合素材とする場合、相手フィールドのリンクモンスターも１体まで融合素材とする事ができる。
4268,アイルの小剣士,アイルのしょうけんし,3,水,戦士族,効果,800,1300,自分のフィールド上に存在するこのカードを除くモンスター１体を生け贄に捧げる度に、このカードの攻撃力はターン終了時まで７００ポイントアップする。
16723,アウトバースト・ドラゴン,アウトバースト・ドラゴン,8,闇,ドラゴン族,効果,2100,2800,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。①：自分フィールドにモンスターが存在する場合に発動できる。このカードを手札から特殊召喚する。その後、このカード以外の自分フィールドのモンスターを全て破壊する。この効果で特殊召喚したこのカードがモンスターゾーンに表側表示で存在する限り、自分は闇属性モンスターしか特殊召喚できない。②：相手メインフェイズに発動できる。このカードを含む自分フィールドのモンスターをリンク素材としてドラゴン族リンクモンスター１体をリンク召喚する。
14402,超接地展開,アウトリガー・エクスパンド,,,魔法,,,,①：自分フィールドの機械族Xモンスターは相手の効果の対象にならない。②：１ターンに１度、自分フィールドの「無限起動」Xモンスター１体を対象として発動できる。その自分のモンスターよりランクが２つ高い機械族Xモンスター１体を、対象のモンスターの上に重ねてX召喚扱いとしてEXデッキから特殊召喚する。この効果の発動後、ターン終了時まで自分は機械族・地属性モンスターしか特殊召喚できない。
15537,阿吽の呼吸,あうんのこきゅう,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できず、このカード名の②の効果は１ターンに１度しか使用できない。①：このカードの発動時の効果処理として、デッキから「双天」モンスター１体を手札に加える事ができる。②：自分フィールドに「双天」効果モンスターが存在する場合に発動できる。自分フィールドに「双天魂トークン」（戦士族・光・星２・攻／守０）１体を特殊召喚する。この効果の発動後、ターン終了時まで自分は融合モンスターしかEXデッキから特殊召喚できない。
14074,アヴァロンの魔女モルガン,アヴァロンのまじょモルガン,3,闇,魔法使い族,効果,1300,1600,このカード名の効果は１ターンに１度しか使用できない。①：自分フィールドに「聖騎士」モンスター及び「聖剣」装備魔法カードが存在し、相手が魔法・罠・モンスターの効果を発動した時、このカードを手札から墓地へ送って発動できる。自分フィールドの「聖剣」装備魔法カード１枚を選んで破壊し、その発動を無効にする。
20297,青い涙の乙女,あおいなみだのおとめ,,,罠,,,,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。 ①：自分フィールドにLモンスターが存在し、相手がモンスターを特殊召喚した場合、その内の１体を対象として発動できる。そのモンスターを破壊し、その元々の攻撃力の半分のダメージを相手に与える。 ②：このカードが墓地に存在する状態で、自分か相手が効果ダメージを受けた場合、このカードを除外し、自分の墓地・除外状態の通常魔法カード１枚を対象として発動できる。そのカードを自分フィールドにセットする。そのカードはこのターン発動できない。
17264,青い涙の天使,あおいなみだのてんし,,,魔法,,,,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。 ①：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターのコントローラーから見て相手は、自身の手札の数×２００ダメージを受ける。その後、対象のモンスターの効果をターン終了時まで無効にする。 ②：自分か相手が効果ダメージを受けた場合、墓地のこのカードを除外して発動できる。手札・デッキから通常罠カード１枚を自分フィールドにセットする。手札からセットした場合、そのカードはセットしたターンでも発動できる。
12587,青き眼の威光,あおきめのいこう,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。①：手札・デッキから「ブルーアイズ」モンスター１体を墓地へ送り、フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターはフィールドに表側表示で存在する限り、攻撃できない。
20604,青き眼の祈り,あおきめのいのり,,,魔法,,,,このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。 ①：手札を１枚捨てて発動できる。「青き眼の祈り」を除く、「青眼の白龍」のカード名が記された魔法・罠カード１枚と光属性・レベル１チューナー１体をデッキから手札に加える。 ②：墓地のこのカードを除外し、自分フィールドの「青眼の白龍」１体を対象として発動できる。EXデッキから「ブルーアイズ」モンスター１体を攻撃力４００アップの装備魔法カード扱いで対象のモンスターに装備する。
10588,青き眼の乙女,あおきめのおとめ,1,光,魔法使い族,チューナー／効果,0,0,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：フィールドの表側表示のこのカードが効果の対象になった時に発動できる。自分の手札・デッキ・墓地から「青眼の白龍」１体を選んで特殊召喚する。②：このカードが攻撃対象に選択された時に発動できる。その攻撃を無効にし、このカードの表示形式を変更する。その後、自分の手札・デッキ・墓地から「青眼の白龍」１体を選んで特殊召喚できる。
12292,青き眼の賢士,あおきめのけんし,1,光,魔法使い族,チューナー／効果,0,1500,このカード名の②の効果は１ターンに１度しか使用できない。 ①：このカードが召喚した時に発動できる。デッキから「青き眼の賢士」以外の光属性・レベル１チューナー１体を手札に加える。 ②：このカードを手札から捨て、自分フィールドの効果モンスター１体を対象として発動できる。そのモンスターを墓地へ送り、デッキから「ブルーアイズ」モンスター１体を特殊召喚する。
13845,青き眼の激臨,あおきめのげきりん,,,魔法,,,,このカードを発動するターン、自分は「青眼の白龍」しか召喚・特殊召喚できない。①：このカードを含む、自分の手札・フィールド・墓地のカードを全て裏側表示で除外し、デッキから「青眼の白龍」を３体まで特殊召喚する。
16855,青き眼の幻出,あおきめのげんしゅつ,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。①：このカードは手札の「青眼の白龍」１体を見せて発動する事もできる。その場合、手札からモンスター１体を特殊召喚する。②：１ターンに１度、自分フィールドの表側表示モンスター１体を対象として発動できる。その表側表示モンスターを持ち主の手札に戻す。その後、手札に戻したカードの元々のカード名によって以下の効果を適用できる。●「青眼の白龍」：手札からモンスター１体を特殊召喚する。●それ以外：手札から「ブルーアイズ」モンスター１体を特殊召喚する。
12293,青き眼の祭司,あおきめのさいし,1,光,魔法使い族,チューナー／効果,300,1200,「青き眼の祭司」の②の効果は１ターンに１度しか使用できない。①：このカードが召喚に成功した時、自分の墓地の光属性・レベル１チューナー１体を対象として発動できる。そのモンスターを手札に加える。②：墓地のこのカードをデッキに戻し、自分フィールドの効果モンスター１体を対象として発動できる。そのモンスターを墓地へ送り、そのモンスター以外の「ブルーアイズ」モンスター１体を自分の墓地から選んで特殊召喚する。
20609,青き眼の精霊,あおきめのせいれい,1,光,ドラゴン族,リンク／効果,300,-,レベル４以下のドラゴン族・魔法使い族モンスター１体 このカード名の①③の効果はそれぞれ１ターンに１度しか使用できない。 ①：このカードがL召喚した場合に発動できる。デッキから「光の霊堂」１枚を選び、手札に加えるか墓地へ送る。 ②：このカードがモンスターゾーンに存在する限り、自分はドラゴン族モンスターしか特殊召喚できない。 ③：このカードをリリースして発動できる。自分の手札・墓地から「ブルーアイズ」モンスター１体を特殊召喚する。この効果で墓地から特殊召喚した効果モンスターは攻撃できず、効果は無効化される。
12251,青き眼の巫女,あおきめのみこ,1,光,魔法使い族,チューナー／効果,0,0,「青き眼の巫女」の①②の効果は１ターンに１度、いずれか１つしか使用できない。①：フィールドの表側表示のこのカードが効果の対象になった時に発動できる。自分フィールドの効果モンスター１体を選んで墓地へ送り、デッキから「ブルーアイズ」モンスターを２体まで手札に加える（同名カードは１枚まで）。②：このカードが墓地に存在する場合、自分フィールドの「ブルーアイズ」モンスター１体を対象として発動できる。そのモンスターを持ち主のデッキに戻し、このカードを墓地から特殊召喚する。
12291,青き眼の護人,あおきめのもりと,1,光,魔法使い族,チューナー／効果,800,1300,「青き眼の護人」の②の効果は１ターンに１度しか使用できない。①：このカードが召喚に成功した時に発動できる。手札から光属性・レベル１チューナー１体を特殊召喚する。②：自分フィールドの効果モンスター１体を対象として発動できる。そのモンスターを墓地へ送り、手札から「ブルーアイズ」モンスター１体を特殊召喚する。
8631,赤蟻アスカトル,あかありアスカトル,3,地,昆虫族,チューナー／効果,700,1300,①：このカードが戦闘で破壊され墓地へ送られた時、自分の墓地のレベル５モンスター１体を対象として発動できる。そのモンスターを特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化され、このターンのエンドフェイズに墓地へ送られる。
4777,朱い靴,あかいくつ,2,闇,悪魔族,リバース／効果,500,300,リバース：表側表示モンスター１体の表示形式を変更する（裏側表示にはできない）。
7804,赤鬼,あかおに,7,地,アンデット族,効果,2800,2100,このカードが召喚に成功した時、自分の手札を任意の枚数墓地に送る事で、その枚数分だけフィールド上のカードを持ち主の手札に戻す。
4157,赤き剣のライムンドス,あかきけんのライムンドス,4,地,戦士族,通常,1200,1300,赤き炎の剣を持った戦士。炎の束縛で動きを封じる。
15127,紅き血染めのエルドリクシル,あかきちぞめのエルドリクシル,,,罠,,,,このカード名の①②の効果は１ターンに１度、いずれか１つしか使用できない。 ①：自分のデッキ・墓地からアンデット族モンスター１体を特殊召喚する。自分フィールドに「エルドリッチ」モンスターが存在しない場合には、この効果で「エルドリッチ」モンスターしか特殊召喚できない。このカードの発動後、ターン終了時まで自分はアンデット族モンスターしか特殊召喚できない。 ②：墓地のこのカードを除外して発動できる。デッキから「黄金郷」魔法・罠カード１枚を自分フィールドにセットする。
18825,赤き竜,あかきりゅう,12,光,ドラゴン族,シンクロ／効果,0,0,チューナー＋チューナー以外のモンスター１体以上 このカード名の①②の効果はそれぞれ１ターンに１度しか使用できない。 ①：このカードが特殊召喚した場合に発動できる。デッキから「赤き竜」のカード名が記された魔法・罠カード１枚を手札に加える。 ②：自分・相手ターンに、「赤き竜」を除く、フィールドのレベル７以上のSモンスター１体を対象として発動できる。このカードをEXデッキに戻し、対象のモンスターと同じレベルのドラゴン族Sモンスター１体をS召喚扱いでEXデッキから特殊召喚する。
13267,アカシック・マジシャン,アカシック・マジシャン,2,闇,魔法使い族,リンク／効果,1700,-,トークン以外の同じ種族のモンスター２体 自分は「アカシック・マジシャン」を１ターンに１度しかリンク召喚できない。①：このカードがリンク召喚に成功した場合に発動する。このカードのリンク先のモンスターを全て持ち主の手札に戻す。②：１ターンに１度、カード名を１つ宣言して発動できる。このカードの相互リンク先のモンスターのリンクマーカーの合計分だけ自分のデッキの上からカードをめくり、その中に宣言したカードがあった場合、そのカードを手札に加える。それ以外のめくったカードは全て墓地へ送る。
17428,赤しゃりの軍貫,あかしゃりのぐんかん,4,炎,水族,効果,0,2000,このカード名の②の効果は１ターンに１度しか使用できない。①：このカードのカード名は、手札・デッキ・フィールド・墓地に存在する限り「しゃりの軍貫」として扱う。②：手札の他の「しゃりの軍貫」１体を相手に見せて発動できる。このカードを手札から特殊召喚する。その後、以下を適用できる。●「しゃりの軍貫」以外の「軍貫」モンスター１体を効果を無効にしてデッキから特殊召喚し、そのモンスターとこのカードを素材として、そのモンスターのカード名が記されたXモンスター１体をX召喚扱いとしてEXデッキから特殊召喚する。
18224,赤酢の踏切,あかずのふみきり,,,罠,,,,①：「赤酢の踏切」は自分フィールドに１枚しか表側表示で存在できない。②：セットされたこのカードと同じ縦列に相手のカードが存在する場合にこのカードを発動できる。このカードと同じ縦列の、このカード以外のカードを全て持ち主の手札に戻す。③：このカードが魔法＆罠ゾーンに存在する限り、このカードと同じ縦列の使用していないゾーンは使用できない。
17767,赫の聖女カルテシア,あかのせいじょカルテシア,4,光,魔法使い族,チューナー／効果,1500,1500,このカード名の①②③の効果はそれぞれ１ターンに１度しか使用できない。 ①：自分のフィールドか墓地に「アルバスの落胤」が存在する場合に発動できる。このカードを手札から特殊召喚する。 ②：自分・相手のメインフェイズに発動できる。自分の手札・フィールドのモンスターを融合素材とし、レベル８以上の融合モンスター１体を融合召喚する。 ③：このターンに融合モンスターが自分の墓地へ送られている場合、エンドフェイズに発動できる。墓地のこのカードを手札に加える。
16543,赫の烙印,あかのらくいん,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。 ①：自分の墓地の、「デスピア」モンスターか「アルバスの落胤」１体を対象として発動できる。そのモンスターを手札に加える。その後、以下の効果を適用できる。 ●自分の手札・フィールドのモンスターを融合素材として除外し、レベル８以上の融合モンスター１体を融合召喚する。この効果で特殊召喚したモンスターはこのターン直接攻撃できない。
20242,贖いのエンブレーマ,あがないのエンブレーマ,,,魔法,,,,このカード名のカードは１ターンに１枚しか発動できない。 ①：自分の魔法＆罠ゾーンの表側表示の「センチュリオン」モンスターカード１枚を除外し、相手フィールドのカード１枚を対象として発動できる。そのカードを除外する。 ②：セットされたこのカードが相手の発動した効果で、破壊された場合または除外された場合に発動できる。自分の手札・デッキ・墓地・除外状態の「センチュリオン」モンスター２体を永続罠カード扱いで自分の魔法＆罠ゾーンに表側表示で置く（同名カードは１枚まで）。
10925,紅姫チルビメ,あきチルビメ,8,地,植物族,効果,1800,2800,このカードがフィールド上に表側表示で存在する限り、相手は他の植物族モンスターを攻撃対象に選択できない。また、このカードが相手によって墓地へ送られた場合、デッキから「紅姫チルビメ」以外の植物族モンスター１体を特殊召喚できる。
5366,アギド,アギド,4,地,天使族,効果,1500,1300,このカードが戦闘によって破壊され墓地に送られた時、サイコロを１回振る。自分の墓地から、サイコロの出た目と同じレベルの天使族モンスター１体を特殊召喚する事ができる。（６の目が出た場合は、レベル６以上のモンスターを含む）
