﻿カードID,名前,読み方,レベル,属性,種族,カードタイプ,攻撃力,守備力,カードテキスト
16418,アイス・ミラー,アイス・ミラー,,,魔法,,,,
5642,アイツ,アイツ,5,炎,天使族,通常,100,100,
20574,アイス・ライゼオル,アイス・ライゼオル,4,光,炎族,効果,1700,1000,
14863,Aiの儀式,アイのぎしき,,,魔法,,,,
10956,相乗り,あいのり,,,魔法,,,,
14676,I：Pマスカレーナ,アイピーマスカレーナ,2,闇,サイバース族,リンク／効果,800,-,
14861,Aiドリング・ボーン,アイドリング・ボーン,,,魔法,,,,
21207,Ai－ボウ,アイ－ボウ,,,罠,,,,
4268,アイルの小剣士,アイルのしょうけんし,3,水,戦士族,効果,800,1300,
14862,Aiラブ融合,アイラブゆうごう,,,魔法,,,,
16723,アウトバースト・ドラゴン,アウトバースト・ドラゴン,8,闇,ドラゴン族,効果,2100,2800,
15537,阿吽の呼吸,あうんのこきゅう,,,魔法,,,,
14402,超接地展開,アウトリガー・エクスパンド,,,魔法,,,,
12587,青き眼の威光,あおきめのいこう,,,魔法,,,,
20604,青き眼の祈り,あおきめのいのり,,,魔法,,,,
20297,青い涙の乙女,あおいなみだのおとめ,,,罠,,,,
17264,青い涙の天使,あおいなみだのてんし,,,魔法,,,,
10588,青き眼の乙女,あおきめのおとめ,1,光,魔法使い族,チューナー／効果,0,0,
14074,アヴァロンの魔女モルガン,アヴァロンのまじょモルガン,3,闇,魔法使い族,効果,1300,1600,
12292,青き眼の賢士,あおきめのけんし,1,光,魔法使い族,チューナー／効果,0,1500,
13845,青き眼の激臨,あおきめのげきりん,,,魔法,,,,
12293,青き眼の祭司,あおきめのさいし,1,光,魔法使い族,チューナー／効果,300,1200,
16855,青き眼の幻出,あおきめのげんしゅつ,,,魔法,,,,
20609,青き眼の精霊,あおきめのせいれい,1,光,ドラゴン族,リンク／効果,300,-,
4777,朱い靴,あかいくつ,2,闇,悪魔族,リバース／効果,500,300,
8631,赤蟻アスカトル,あかありアスカトル,3,地,昆虫族,チューナー／効果,700,1300,
12291,青き眼の護人,あおきめのもりと,1,光,魔法使い族,チューナー／効果,800,1300,
7804,赤鬼,あかおに,7,地,アンデット族,効果,2800,2100,
12251,青き眼の巫女,あおきめのみこ,1,光,魔法使い族,チューナー／効果,0,0,
4157,赤き剣のライムンドス,あかきけんのライムンドス,4,地,戦士族,通常,1200,1300,
15127,紅き血染めのエルドリクシル,あかきちぞめのエルドリクシル,,,罠,,,,
18224,赤酢の踏切,あかずのふみきり,,,罠,,,,
13267,アカシック・マジシャン,アカシック・マジシャン,2,闇,魔法使い族,リンク／効果,1700,-,
18825,赤き竜,あかきりゅう,12,光,ドラゴン族,シンクロ／効果,0,0,
17767,赫の聖女カルテシア,あかのせいじょカルテシア,4,光,魔法使い族,チューナー／効果,1500,1500,
17428,赤しゃりの軍貫,あかしゃりのぐんかん,4,炎,水族,効果,0,2000,
20242,贖いのエンブレーマ,あがないのエンブレーマ,,,魔法,,,,
16543,赫の烙印,あかのらくいん,,,魔法,,,,
10925,紅姫チルビメ,あきチルビメ,8,地,植物族,効果,1800,2800,
5366,アギド,アギド,4,地,天使族,効果,1500,1300,
11918,アクアアクトレス・アロワナ,アクアアクトレス・アロワナ,6,水,水族,効果,2000,2000,
11916,アクアアクトレス・テトラ,アクアアクトレス・テトラ,1,水,水族,効果,300,300,
20524,アクア・ジェット・サーフェス,アクア・ジェット・サーフェス,,,魔法,,,,
11917,アクアアクトレス・グッピー,アクアアクトレス・グッピー,2,水,水族,効果,600,600,
9665,アクア・ジェット,アクア・ジェット,,,魔法,,,,
4448,アクア・ドラゴン,アクア・ドラゴン,6,水,海竜族,融合,2250,1900,
4452,アクア・スネーク,アクア・スネーク,3,水,水族,通常,1050,900,
5006,アクアの合唱,アクアのがっしょう,,,罠,,,,
18854,アクアの輪唱,アクアのりんしょう,,,魔法,,,,
11922,水物語－ウラシマ,アクア・ストーリー－ウラシマ,,,罠,,,,
4219,アクア・マドール,アクア・マドール,4,水,魔法使い族,通常,1200,2000,
11920,水舞台装置,アクアリウム・セット,,,魔法,,,,
20245,亜空間物質回送装置,あくうかんぶっしつかいそうそうち,,,魔法,,,,
11921,水照明,アクアリウム・ライティング,,,魔法,,,,
11919,水舞台,アクアリウム・ステージ,,,魔法,,,,
7327,亜空間ジャンプ装置,あくうかんジャンプそうち,,,罠,,,,
5560,亜空間物質転送装置,あくうかんぶっしつてんそうそうち,,,罠,,,,
13684,悪王アフリマ,あくおうアフリマ,4,闇,悪魔族,効果,1700,0,
13550,アクションマジック－ダブル・バンキング,アクションマジック－ダブル・バンキング,,,魔法,,,,
13549,アクションマジック－フルターン,アクションマジック－フルターン,,,魔法,,,,
17440,悪醒師ナイトメルト,あくせいしナイトメルト,4,風,サイキック族,効果,1500,1500,
15032,アクセスコード・トーカー,アクセスコード・トーカー,4,闇,サイバース族,リンク／効果,2300,-,
17253,アクセルシンクロ・スターダスト・ドラゴン,アクセルシンクロ・スターダスト・ドラゴン,8,風,ドラゴン族,シンクロ／効果,2500,2000,
10342,アクセル・ライト,アクセル・ライト,,,魔法,,,,
11629,アクセル・シンクロン,アクセル・シンクロン,5,闇,機械族,シンクロ／チューナー／効果,500,2100,
13687,悪のデッキ破壊ウイルス,あくのデッキはかいウイルス,,,罠,,,,
4273,悪の無名戦士,あくのむめいせんし,3,闇,戦士族,通常,1000,500,
4680,悪魔鏡の儀式,あくまかがみのぎしき,,,魔法,,,,
20483,悪魔獣デビルゾア,あくまじゅうデビルゾア,7,闇,悪魔族,効果,2600,1900,
15021,悪魔嬢マリス,あくまじょうマリス,3,闇,悪魔族,効果,1000,1000,
16833,悪魔嬢アリス,あくまじょうアリス,3,闇,悪魔族,効果,0,2000,
17552,悪魔嬢ロリス,あくまじょうロリス,3,闇,悪魔族,効果,1500,500,
4816,悪魔のサイコロ,あくまのサイコロ,,,罠,,,,
13682,悪魔嬢リリス,あくまじょうリリス,3,闇,悪魔族,効果,2000,0,
4327,悪魔のくちづけ,あくまのくちづけ,,,魔法,,,,
4168,悪魔の知恵,あくまのちえ,3,闇,悪魔族,効果,1250,800,
4617,悪魔の偵察者,あくまのていさつしゃ,2,闇,悪魔族,リバース／効果,650,500,
5913,悪魔の手鏡,あくまのてかがみ,,,罠,,,,
11751,悪魔の嘆き,あくまのなげき,,,罠,,,,
10880,悪魔の憑代,あくまのよりしろ,,,罠,,,,
4869,悪魔払い,あくまばらい,,,魔法,,,,
8497,悪魔への貢物,あくまへのみつぎもの,,,魔法,,,,
5433,悪夢の蜃気楼,あくむのしんきろう,,,魔法,,,,
11832,悪魔竜ブラック・デーモンズ・ドラゴン,あくまりゅうブラック・デーモンズ・ドラゴン,9,闇,ドラゴン族,融合／効果,3200,2500,
5531,悪夢の拷問部屋,あくむのごうもんべや,,,魔法,,,,
5120,悪夢の鉄檻,あくむのてつおり,,,魔法,,,,
6070,悪夢の迷宮,あくむのめいきゅう,,,罠,,,,
7151,悪夢再び,あくむふたたび,,,魔法,,,,
18814,火天獣－キャンドル,アグニマル－キャンドル,4,炎,炎族,チューナー／効果,1700,0,
7649,アグレッシブ・クラウディアン,アグレッシブ・クラウディアン,,,罠,,,,
5705,アクロバットモンキー,アクロバットモンキー,3,地,機械族,通常,1000,1800,
10827,明と宵の逆転,あけとよいのぎゃくてん,,,罠,,,,
8202,アゲインスト・ウィンド,アゲインスト・ウィンド,,,魔法,,,,
21188,アコード・トーカー＠イグニスター,アコード・トーカーアットイグニスター,5,闇,サイバース族,リンク／効果,2300,-,
4965,浅すぎた墓穴,あさすぎたはかあな,,,魔法,,,,
4133,アサシン,アサシン,5,地,戦士族,通常,1700,1200,
11178,アサルト・ガンドッグ,アサルト・ガンドッグ,4,地,獣族,効果,1200,800,
7494,アサルト・アーマー,アサルト・アーマー,,,魔法,,,,
8848,アサルト・スピリッツ,アサルト・スピリッツ,,,罠,,,,
18427,アサルト・シンクロン,アサルト・シンクロン,2,闇,機械族,チューナー／効果,700,0,
12446,A BF－雨隠れのサヨ,アサルト　ブラックフェザー－あまがくれのサヨ,2,闇,鳥獣族,シンクロ／効果,800,100,
11962,A BF－霧雨のクナイ,アサルト　ブラックフェザー－きりさめのクナイ,5,闇,鳥獣族,効果,2100,1600,
12447,A BF－五月雨のソハヤ,アサルト　ブラックフェザー－さみだれのソハヤ,5,闇,鳥獣族,シンクロ／効果,1500,2000,
12448,A BF－神立のオニマル,アサルト　ブラックフェザー－がんだちのオニマル,12,闇,鳥獣族,シンクロ／効果,3000,2000,
12323,A BF－涙雨のチドリ,アサルト　ブラックフェザー－なみだあめのチドリ,7,闇,鳥獣族,シンクロ／効果,2600,2000,
12486,アサルトワイバーン,アサルトワイバーン,4,光,ドラゴン族,効果,1800,1000,
11991,A BF－驟雨のライキリ,アサルト　ブラックフェザー－しゅううのライキリ,7,闇,鳥獣族,シンクロ／効果,2600,2000,
21172,贖罪神女,アザミナ,12,光,幻想魔族,融合／効果,4000,4000,
20807,アザミナ・アーフェス,アザミナ・アーフェス,,,罠,,,,
20530,アザミナ・オフェイレーテス,アザミナ・オフェイレーテス,,,魔法,,,,
20508,飢渇聖徒エリュシクトーン,アザミナ・ソルエリュシクトーン,6,闇,幻想魔族,融合／効果,2700,0,
20748,アザミナの妖魔,アザミナのようま,8,闇,幻想魔族,効果,2500,2000,
20549,アザミナ・ハマルティア,アザミナ・ハマルティア,,,罠,,,,
20509,殺戮聖徒レジーナ,アザミナ・モアレジーナ,8,闇,幻想魔族,融合／効果,3000,2000,
20507,告死聖徒ルシエラーゴ,アザミナ・ムゥルシエラーゴ,6,闇,幻想魔族,融合／効果,2000,2400,
4646,アシッドクロウラー,アシッドクロウラー,3,地,昆虫族,通常,900,700,
7457,アシッドレイン,アシッドレイン,,,魔法,,,,
20506,背信聖徒シルヴィア,アザミナ・レアシルヴィア,6,闇,幻想魔族,融合／効果,1900,1500,
17450,亜種羅王,アシュラオウ,3,地,戦士族,エクシーズ／効果,2100,0,
19029,アショカ・ピラー,アショカ・ピラー,3,地,岩石族,効果,0,2200,
13276,アシンメタファイズ,アシンメタファイズ,,,魔法,,,,
11696,覚星輝士－セフィラビュート,アステラナイト－セフィラビュート,4,光,悪魔族,ペンデュラム／効果,1900,0,
4754,アステカの石像,アステカのせきぞう,4,地,岩石族,効果,300,2000,
10402,アステル・ドローン,アステル・ドローン,4,地,魔法使い族,効果,1600,1000,
13883,アストラグールズ,アストラグールズ,5,地,アンデット族,効果,0,2000,
6226,アストラルバリア,アストラルバリア,,,罠,,,,
16636,アストラル・クリボー,アストラル・クリボー,1,光,悪魔族,効果,100,100,
14267,夢幻転星イドリース,アストロイメアイドリース,9,闇,天使族,効果,2100,2100,
13435,アスポート,アスポート,,,魔法,,,,
12906,アストログラフ・マジシャン,アストログラフ・マジシャン,7,闇,魔法使い族,ペンデュラム／効果,2500,2000,
5381,阿修羅,アスラ,4,光,天使族,スピリット／効果,1700,1200,
8483,アタック・フェロモン,アタック・フェロモン,,,魔法,,,,
19413,アセット・マウンティス,アセット・マウンティス,7,光,昆虫族,効果,2300,2000,
6026,アスワンの亡霊,アスワンのぼうれい,3,闇,悪魔族,効果,500,500,
6581,アタック・リフレクター・ユニット,アタック・リフレクター・ユニット,,,罠,,,,
9091,アタック・ゲイナー,アタック・ゲイナー,1,地,戦士族,チューナー／効果,0,0,
16295,アタッチメント・サイバーン,アタッチメント・サイバーン,3,光,ドラゴン族,効果,1600,800,
15099,魔救の分析者,アダマシア・アナライザー,4,地,岩石族,チューナー／効果,1500,700,
15102,魔救の奇石－ドラガイト,アダマシア・クリスタ－ドラガイト,4,水,岩石族,効果,0,2200,
15101,魔救の奇石－ラプタイト,アダマシア・クリスタ－ラプタイト,4,風,岩石族,効果,0,2200,
15100,魔救の奇石－レオナイト,アダマシア・クリスタ－レオナイト,4,炎,岩石族,効果,0,2200,
15107,魔救の息吹,アダマシア・サイン,,,魔法,,,,
15097,魔救の追求者,アダマシア・シーカー,2,地,岩石族,チューナー／効果,1200,1000,
15104,魔救の奇跡－ラプタイト,アダマシア・ライズ－ラプタイト,6,風,岩石族,シンクロ／効果,2200,2800,
15105,魔救の奇跡－ドラガイト,アダマシア・ライズ－ドラガイト,8,水,岩石族,シンクロ／効果,3000,2200,
15295,魔救の奇縁,アダマシア・フレンズ,,,魔法,,,,
15103,魔救の奇跡－レオナイト,アダマシア・ライズ－レオナイト,6,炎,岩石族,シンクロ／効果,2400,2200,
15106,アダマシア・ラピュタイト,アダマシア・ラピュタイト,,,魔法,,,,
15098,魔救の探索者,アダマシア・リサーチャー,2,地,岩石族,チューナー／効果,100,2100,
15108,魔救の救砕,アダマシア・リリーブ,,,罠,,,,
15109,魔救共振撃,アダマシア・レゾナンス,,,罠,,,,
9620,アチャチャアーチャー,アチャチャアーチャー,3,炎,戦士族,効果,1200,600,
14813,アチチ＠イグニスター,アチチアットイグニスター,2,炎,サイバース族,効果,800,800,
6547,アックス・ドラゴニュート,アックス・ドラゴニュート,4,闇,ドラゴン族,効果,2000,1200,
14122,アップデートジャマー,アップデートジャマー,2,風,サイバース族,リンク／効果,2000,-,
4084,アックス・レイダー,アックス・レイダー,4,地,戦士族,通常,1700,1150,
10225,アチャチャチャンバラー,アチャチャチャンバラー,3,炎,戦士族,効果,1400,400,
9399,輝石融合,アッセンブル・フュージョン,,,罠,,,,
12498,アップル・マジシャン・ガール,アップル・マジシャン・ガール,3,炎,魔法使い族,効果,1200,800,
12897,熱き決闘者たち,あつきデュエリストたち,,,魔法,,,,
18314,アティプスの蟲惑魔,アティプスのこわくま,3,地,昆虫族,リンク／効果,1800,-,
18441,アディショナル・ミラー・レベル７,アディショナル・ミラー・レベルセブン,,,魔法,,,,
7571,アテナ,アテナ,7,光,天使族,効果,2600,800,
10635,アトラの蟲惑魔,アトラのこわくま,4,地,昆虫族,効果,1800,1000,
9334,アトミック・スクラップ・ドラゴン,アトミック・スクラップ・ドラゴン,10,地,ドラゴン族,シンクロ／効果,3200,2400,
7107,アトランティスの戦士,アトランティスのせんし,4,水,水族,効果,1900,1200,
14050,アドヴェンデット・セイヴァー,アドヴェンデット・セイヴァー,2,闇,アンデット族,リンク／効果,1600,-,
10319,アドバンス・ゾーン,アドバンス・ゾーン,,,魔法,,,,
10214,アドバンスド・ダーク,アドバンスド・ダーク,,,魔法,,,,
17629,A宝玉獣 アメジスト・キャット,アドバンスドほうぎょくじゅう　アメジスト・キャット,3,地,獣族,効果,1200,400,
10930,アドバンス・ディボーター,アドバンス・ディボーター,3,水,戦士族,効果,800,2000,
17634,A宝玉獣 サファイア・ペガサス,アドバンスドほうぎょくじゅう　サファイア・ペガサス,4,風,獣族,効果,1800,1200,
17630,A宝玉獣 エメラルド・タートル,アドバンスドほうぎょくじゅう　エメラルド・タートル,3,水,水族,効果,600,2000,
17633,A宝玉獣 コバルト・イーグル,アドバンスドほうぎょくじゅう　コバルト・イーグル,4,風,鳥獣族,効果,1400,800,
17632,A宝玉獣 アンバー・マンモス,アドバンスドほうぎょくじゅう　アンバー・マンモス,4,地,獣族,効果,1700,1600,
17631,A宝玉獣 トパーズ・タイガー,アドバンスドほうぎょくじゅう　トパーズ・タイガー,4,地,獣族,効果,1600,1000,
17628,A宝玉獣 ルビー・カーバンクル,アドバンスドほうぎょくじゅう　ルビー・カーバンクル,3,光,天使族,効果,300,300,
8337,アドバンスドロー,アドバンスドロー,,,魔法,,,,
8659,アドバンス・フォース,アドバンス・フォース,,,魔法,,,,
21618,アナザー・バース・ストラディオス,アナザー・バース・ストラディオス,8,地,戦士族,通常,2500,2000,
21837,あないみじや玉の緒ふたつ,あないみじやたまのおふたつ,,,魔法,,,,
6244,百獣王 ベヒーモス,アニマル・キング　ベヒーモス,7,地,獣族,効果,2700,1500,
5232,アヌビスの裁き,アヌビスのさばき,,,罠,,,,
18145,アナザー・バース・ドラゴン,アナザー・バース・ドラゴン,8,光,ドラゴン族,通常,2500,2000,
6067,アヌビスの呪い,アヌビスののろい,,,罠,,,,
6255,暴れ牛鬼,あばれうしおに,4,地,獣戦士族,効果,1200,1200,
6937,暴鬼,あばき,4,炎,悪魔族,効果,1700,1100,
16938,アビス・オーパー,アビス・オーパー,2,水,魚族,リンク／効果,1500,-,
10250,アビス・ウォリアー,アビス・ウォリアー,4,水,水族,効果,1800,1300,
13225,アネスヴァレット・ドラゴン,アネスヴァレット・ドラゴン,1,闇,ドラゴン族,効果,0,2200,
10278,アビスケイル－クラーケン,アビスケイル－クラーケン,,,魔法,,,,
10545,アビスケイル－ミヅチ,アビスケイル－ミヅチ,,,魔法,,,,
10434,アビスコーン,アビスコーン,,,罠,,,,
10420,アビスケイル－ケートス,アビスケイル－ケートス,,,魔法,,,,
10293,アビスコール,アビスコール,,,罠,,,,
20814,アビスチーム,アビスチーム,,,罠,,,,
5927,アビス・ソルジャー,アビス・ソルジャー,4,水,水族,効果,1800,1300,
10295,アビストローム,アビストローム,,,罠,,,,
17039,アビス・シャーク,アビス・シャーク,5,水,魚族,効果,1200,700,
20538,アビスティング－トリアイナ,アビスティング－トリアイナ,,,魔法,,,,
10294,アビスフィアー,アビスフィアー,,,罠,,,,
4601,アブソリューター,アブソリューター,4,風,鳥獣族,通常,1300,1400,
15375,アフター・グロー,アフター・グロー,,,魔法,,,,
10060,アブソーブポッド,アブソーブポッド,3,地,岩石族,リバース／効果,600,500,
19017,アブソリュート・パワーフォース,アブソリュート・パワーフォース,,,魔法,,,,
21445,アブソリュートサイキッカー,アブソリュートサイキッカー,11,光,サイキック族,融合／効果,3400,2200,
14618,アブソルーター・ドラゴン,アブソルーター・ドラゴン,7,闇,ドラゴン族,効果,1200,2800,
11453,吸光融合,アブソープ・フュージョン,,,魔法,,,,
9700,アボイド・ドラゴン,アボイド・ドラゴン,4,風,ドラゴン族,効果,1900,1200,
21217,アブダクション,アブダクション,,,罠,,,,
8633,アポカテクイル,アポカテクイル,4,光,雷族,効果,1800,1200,
11405,隠されし機殻,アポクリフォート,,,罠,,,,
21838,黙歯録,アポカリエス,,,魔法,,,,
11358,アポクリフォート・キラー,アポクリフォート・キラー,10,地,機械族,効果,3000,2600,
7911,アポート,アポート,,,魔法,,,,
11267,天架ける星因士,あまかけるサテラナイト,,,魔法,,,,
6604,悪魔ガエル,あまガエル,3,水,水族,効果,1200,800,
5234,アポピスの化神,アポピスのけしん,,,罠,,,,
13148,アマゾネス女帝,アマゾネスエンプレス,8,地,戦士族,融合／効果,2800,2400,
5195,アマゾネスの射手,アマゾネスアーチャー,4,地,戦士族,効果,1400,1000,
11543,アポクリフォート・カーネル,アポクリフォート・カーネル,9,地,機械族,効果,2900,2500,
13174,アマゾネスの叫声,アマゾネスコール,,,魔法,,,,
8963,アマゾネス女王,アマゾネスクィーン,6,地,戦士族,効果,2400,1800,
17614,アマゾネス女帝王,アマゾネスカイゼリン,10,地,戦士族,融合／効果,3200,2800,
17613,アマゾネス霊術師,アマゾネスシャーマン,2,地,戦士族,効果,800,1800,
8962,アマゾネス訓練生,アマゾネスくんれんせい,4,地,戦士族,効果,1500,1300,
9203,アマゾネス・スカウト,アマゾネス・スカウト,2,地,戦士族,効果,500,1100,
9210,アマゾネス転生術,アマゾネスてんせいじゅつ,,,罠,,,,
9003,アマゾネスの意地,アマゾネスのいじ,,,罠,,,,
5295,アマゾネスの格闘戦士,アマゾネスのかくとうせんし,4,地,戦士族,効果,1500,1300,
13175,アマゾネスの急襲,アマゾネスのきゅうしゅう,,,罠,,,,
17610,アマゾネスの金鞭使い,アマゾネスのきんべんつかい,5,地,戦士族,ペンデュラム／効果,2000,1200,
17611,アマゾネスの銀剣使い,アマゾネスのぎんけんつかい,3,地,戦士族,ペンデュラム／効果,1200,2000,
8961,アマゾネスの賢者,アマゾネスのけんじゃ,4,地,戦士族,効果,1400,700,
5284,アマゾネスの剣士,アマゾネスのけんし,4,地,戦士族,効果,1500,1600,
5291,アマゾネスの鎖使い,アマゾネスのくさりつかい,4,地,戦士族,効果,1500,1300,
8984,アマゾネスの里,アマゾネスのさと,,,魔法,,,,
5296,アマゾネスの呪詛師,アマゾネスのじゅそし,,,魔法,,,,
5645,アマゾネスの聖戦士,アマゾネスのせいせんし,4,地,戦士族,効果,1700,300,
13146,アマゾネスの斥候,アマゾネスのせっこう,3,地,戦士族,効果,800,1200,
17612,アマゾネスの戦士長,アマゾネスのせんしちょう,5,地,戦士族,効果,1900,0,
8985,アマゾネスの闘志,アマゾネスのとうし,,,魔法,,,,
5286,アマゾネスの弩弓隊,アマゾネスのどきゅうたい,,,罠,,,,
17655,アマゾネスの秘湯,アマゾネスのひとう,,,罠,,,,
9209,アマゾネスの秘宝,アマゾネスのひほう,,,魔法,,,,
17616,アマゾネスの秘術,アマゾネスのひじゅつ,,,魔法,,,,
5646,アマゾネスの吹き矢兵,アマゾネスのふきやへい,3,地,戦士族,効果,800,1500,
17654,アマゾネス拝謁の間,アマゾネスはいえつのま,,,罠,,,,
17615,アマゾネスペット虎獅王,アマゾネスペットキングライガー,9,地,獣族,融合／効果,2900,2800,
13172,アマゾネス王女,アマゾネスプリンセス,3,地,戦士族,効果,1200,900,
5647,アマゾネスペット虎,アマゾネスペットタイガー,4,地,獣族,効果,1100,1500,
12434,天照大神,アマテラス,9,光,天使族,スピリット／効果,3000,3000,
13252,天岩戸,アマノイワト,4,地,岩石族,スピリット／効果,1900,1200,
13147,アマゾネスペット虎獅子,アマゾネスペットライガー,7,地,獣族,融合／効果,2500,2400,
18018,天御巫の闔,あまつみかんこのとびら,,,魔法,,,,
13173,アマゾネスペット仔虎,アマゾネスペットベビータイガー,2,地,獣族,効果,500,500,
15724,天孔邪鬼,アマノクジャキ,3,光,悪魔族,チューナー／効果,1000,1000,
4695,あまのじゃくの呪い,あまのじゃくののろい,,,罠,,,,
16184,あまびえさん,あまびえさん,3,水,天使族,効果,0,0,
10363,アマリリース,アマリリース,1,地,植物族,効果,100,200,
10325,呪符竜,アミュレット・ドラゴン,8,闇,ドラゴン族,融合／効果,2900,2500,
16017,アメイジングタイムチケット,アメイジングタイムチケット,,,魔法,,,,
12643,アメイジング・ペンデュラム,アメイジング・ペンデュラム,,,魔法,,,,
16032,A・∀・CC,アメイズ・アトラクション・サイクロンコースター,,,罠,,,,
16265,A・∀・VV,アメイズ・アトラクション・ヴァンキッシュヴァイキング,,,罠,,,,
17479,A・∀・TT,アメイズ・アトラクション・スリルトレイン,,,罠,,,,
16036,A・∀・HH,アメイズ・アトラクション・ホラーハウス,,,罠,,,,
16034,A・∀・MM,アメイズ・アトラクション・マジェスティックマネージュ,,,罠,,,,
16035,A・∀・RR,アメイズ・アトラクション・ラピッドレーシング,,,罠,,,,
16033,A・∀・WW,アメイズ・アトラクション・ワンダーホイール,,,罠,,,,
16209,驚楽園の助手 ＜Delia＞,アメイズメント・アシスタント　＜ディライア＞,4,光,機械族,効果,1800,1400,
15968,驚楽園の大使 ＜Bufo＞,アメイズメント・アンバサダー　＜ブーフォ＞,3,地,獣族,効果,1600,900,
15967,驚楽園の支配人 ＜∀rlechino＞,アメイズメント・アドミニストレーター　＜アルレキーノ＞,7,闇,サイキック族,効果,2600,2200,
15969,驚楽園の案内人 ＜Comica＞,アメイズメント・アテンダント　＜コミカ＞,4,光,機械族,効果,1400,1800,
16018,アメイズメント・スペシャルショー,アメイズメント・スペシャルショー,,,魔法,,,,
18486,恐楽園の死配人 ＜Arlechino＞,アメイズメント・ドミネイター　＜アルレキーノ＞,7,光,サイキック族,効果,2600,2200,
16031,アメイズメント・ファミリーフェイス,アメイズメント・ファミリーフェイス,,,罠,,,,
16019,アメイズメント・プレシャスパーク,アメイズメント・プレシャスパーク,,,魔法,,,,
13329,雨天気ラズラ,あめてんきラズラ,3,水,天使族,効果,1200,1400,
13336,雨の天気模様,あめのてんきもよう,,,魔法,,,,
4490,アメーバ,アメーバ,1,水,水族,効果,300,350,
12303,アモルファージ・イリテュム,アモルファージ・イリテュム,8,地,ドラゴン族,ペンデュラム／効果,2750,0,
12334,アモルファスP,アモルファスペルソナ,,,魔法,,,,
12335,アモルファージ・インフェクション,アモルファージ・インフェクション,,,魔法,,,,
12296,アモルファージ・ガストル,アモルファージ・ガストル,2,地,ドラゴン族,ペンデュラム／効果,0,1850,
12300,アモルファージ・オルガ,アモルファージ・オルガ,4,地,ドラゴン族,ペンデュラム／効果,1650,0,
